Name,f1,precision,confusionMatrix,AUC,STD
DummyClassifier,0.5,0.8344405709399461,"[[0.5, 0.0], [0.5, 0.0]]",0.5,0.0
LogisticRegression,0.56214,0.8344405709399461,"[[0.3, 0.2], [0.24, 0.26]]",0.5839462571541941,0.006420848026757813
DecisionTreeClassifier,0.93378,0.8344405709399461,"[[0.39, 0.11], [0.11, 0.39]]",0.7793236261790293,0.0033039179123856574
KNeighborsClassifier,0.78808,0.8344405709399461,"[[0.35, 0.15], [0.13, 0.37]]",0.7968530516107183,0.0036922094282994013
GaussianNB,0.57347,0.8344405709399461,"[[0.31, 0.19], [0.25, 0.26]]",0.597590962468099,0.005793601933919061
SVC,0.74096,0.8344405709399461,"[[0.37, 0.13], [0.13, 0.37]]",0.8158385114638154,0.004059256100378971
RandomForestClassifier,0.95178,0.8344405709399461,"[[0.42, 0.08], [0.08, 0.42]]",0.9303353825314471,0.0017686707554756885
XGBClassifier,0.85637,0.8344405709399461,"[[0.42, 0.08], [0.09, 0.41]]",0.9233721030166686,0.0020605336670557347
StackingClassifier,0.95114,0.8344405709399461,"[[0.41, 0.08], [0.08, 0.42]]",0.8839988613673089,0.0035216350209319926
