Name,f1,precision,confusionMatrix,AUC,STD
DummyClassifier,0.5,0.511542689629901,"[[0.49, 0.0], [0.51, 0.0]]",0.5,0.0
LogisticRegression,0.5043,0.511542689629901,"[[0.31, 0.19], [0.32, 0.19]]",0.5018893098428121,0.009970299012381082
DecisionTreeClassifier,0.8468333333333333,0.511542689629901,"[[0.25, 0.24], [0.26, 0.25]]",0.5002938177387967,0.007887506109590322
KNeighborsClassifier,0.6358,0.511542689629901,"[[0.25, 0.24], [0.25, 0.26]]",0.5031956489950767,0.008328385552621966
GaussianNB,0.5062333333333333,0.511542689629901,"[[0.32, 0.17], [0.33, 0.18]]",0.5046298131276468,0.010268881923781661
SVC,0.5343333333333333,0.511542689629901,"[[0.3, 0.19], [0.31, 0.2]]",0.5040830762879154,0.008181610756877006
RandomForestClassifier,0.8460666666666666,0.511542689629901,"[[0.26, 0.23], [0.27, 0.23]]",0.5031180887644506,0.008749565930133912
XGBClassifier,0.7300333333333333,0.511542689629901,"[[0.26, 0.23], [0.26, 0.25]]",0.49876573301698385,0.00865651867945677
StackingClassifier,0.8490333333333333,0.511542689629901,"[[0.2, 0.3], [0.2, 0.31]]",0.5014889713658994,0.011751620540758775
