Name,f1,precision,confusionMatrix,AUC,STD
DummyClassifier,0.5,0.5110222606440458,"[[0.5, 0.0], [0.5, 0.0]]",0.5,0.0
LogisticRegression,0.50177,0.5110222606440458,"[[0.28, 0.22], [0.28, 0.22]]",0.49735292270938575,0.0036565550587209453
DecisionTreeClassifier,0.84372,0.5110222606440458,"[[0.26, 0.24], [0.24, 0.26]]",0.5163093313156073,0.0033154966380368744
KNeighborsClassifier,0.6338,0.5110222606440458,"[[0.25, 0.25], [0.25, 0.26]]",0.5107105754985005,0.003950569342060371
GaussianNB,0.50179,0.5110222606440458,"[[0.26, 0.24], [0.26, 0.24]]",0.4957742701742124,0.004413100988427068
SVC,0.5239,0.5110222606440458,"[[0.27, 0.23], [0.27, 0.24]]",0.5027558259378019,0.0042032066837451535
RandomForestClassifier,0.84271,0.5110222606440458,"[[0.26, 0.23], [0.25, 0.25]]",0.5320975505374685,0.0038915187075950087
XGBClassifier,0.64689,0.5110222606440458,"[[0.25, 0.25], [0.25, 0.25]]",0.5122928278643957,0.004305913218935935
StackingClassifier,0.84244,0.5110222606440458,"[[0.2, 0.3], [0.19, 0.32]]",0.5245150277587155,0.0025979438682513147
