Name,f1,precision,confusionMatrix,AUC,STD
LogisticRegression,0.501515,0.49538318288803246,"[[0.18, 0.33], [0.18, 0.32]]",0.497864619615803,0.003865515662597136
DecisionTreeClassifier,0.82916,0.49888641425389757,"[[0.26, 0.24], [0.25, 0.24]]",0.4977670896695397,0.00454034401201414
KNeighborsClassifier,0.62878,0.4954373767423204,"[[0.25, 0.25], [0.25, 0.25]]",0.49653549884030906,0.004119592388273782
GaussianNB,0.501615,0.4960654816272044,"[[0.26, 0.24], [0.26, 0.24]]",0.49787917005817794,0.003272113111580623
SVC,0.5161,0.4989482027986952,"[[0.23, 0.27], [0.22, 0.27]]",0.5004783464784528,0.002617973048257518
RandomForestClassifier,0.828235,0.49585378797930213,"[[0.25, 0.25], [0.25, 0.25]]",0.4969325950028132,0.004866177749815495
XGBClassifier,0.604405,0.49911614508314783,"[[0.25, 0.26], [0.24, 0.25]]",0.500014821298957,0.004030379566228485
StackingClassifier,0.82848,0.49729889536915095,"[[0.19, 0.31], [0.19, 0.31]]",0.49624493736173686,0.004230265367296124
