Name,f1,precision,confusionMatrix,AUC,STD
DummyClassifier,0.5,0.489058039961941,"[[0.5, 0.0], [0.5, 0.0]]",0.5,0.0
LogisticRegression,0.50725,0.489058039961941,"[[0.27, 0.22], [0.29, 0.21]]",0.4944510490552186,0.02476271904344439
StackingClassifier,0.50725,0.489058039961941,"[[0.27, 0.22], [0.29, 0.21]]",0.49627514704286424,0.01865448391632756
