Name,f1,precision,confusionMatrix,AUC,STD
DummyClassifier,0.5,0.5043619395414891,"[[0.5, 0.0], [0.5, 0.0]]",0.5,0.0
LogisticRegression,0.5029,0.5043619395414891,"[[0.36, 0.14], [0.37, 0.14]]",0.48824563776676094,0.0088855236253516
DecisionTreeClassifier,0.7481,0.5043619395414891,"[[0.25, 0.25], [0.25, 0.25]]",0.5046260074998884,0.009463946467145393
KNeighborsClassifier,0.59635,0.5043619395414891,"[[0.25, 0.25], [0.25, 0.25]]",0.5089563019441554,0.010730006248411512
GaussianNB,0.50955,0.5043619395414891,"[[0.34, 0.16], [0.34, 0.16]]",0.5045407792763438,0.010617193175806056
SVC,0.5319,0.5043619395414891,"[[0.34, 0.16], [0.34, 0.17]]",0.5065152427546581,0.012562734971471933
RandomForestClassifier,0.751,0.5043619395414891,"[[0.27, 0.22], [0.27, 0.23]]",0.5035572365236897,0.011928011702751215
XGBClassifier,0.7062,0.5043619395414891,"[[0.26, 0.24], [0.26, 0.24]]",0.5015431550307434,0.011857071805231672
StackingClassifier,0.7488,0.5043619395414891,"[[0.25, 0.24], [0.25, 0.25]]",0.5063894589731415,0.011552285169424178
