Name,f1,precision,confusionMatrix,AUC,STD
DummyClassifier,0.5,0.5108862312174179,"[[0.5, 0.0], [0.5, 0.0]]",0.5,0.0
LogisticRegression,0.50325,0.5108862312174179,"[[0.28, 0.22], [0.28, 0.22]]",0.49205210543276057,0.011842049019519225
DecisionTreeClassifier,0.8471,0.5108862312174179,"[[0.25, 0.25], [0.25, 0.25]]",0.4991435148084159,0.007543634025946728
KNeighborsClassifier,0.6351,0.5108862312174179,"[[0.25, 0.25], [0.25, 0.25]]",0.5053604835414182,0.006081463385636871
GaussianNB,0.5074,0.5108862312174179,"[[0.31, 0.19], [0.32, 0.19]]",0.5076700692396254,0.008508148490776869
SVC,0.5397,0.5108862312174179,"[[0.31, 0.18], [0.31, 0.19]]",0.5059213263908188,0.00928551767379274
RandomForestClassifier,0.8461,0.5108862312174179,"[[0.25, 0.24], [0.26, 0.24]]",0.5072463666510628,0.011776357955437298
XGBClassifier,0.7639,0.5108862312174179,"[[0.25, 0.25], [0.25, 0.25]]",0.5010918850847361,0.012126182874439166
StackingClassifier,0.84975,0.5108862312174179,"[[0.23, 0.27], [0.23, 0.28]]",0.5014011555528842,0.009169150392734268
