Name,f1,precision,confusionMatrix,AUC,STD
LogisticRegression,0.5175,0.54375,"[[0.3, 0.18], [0.3, 0.22]]",0.5093282265143232,0.029408951338480996
StackingClassifier,0.5175,0.54375,"[[0.3, 0.18], [0.3, 0.22]]",0.511515693640947,0.03032116822340749
