Name,f1,precision,confusionMatrix,AUC,STD
DummyClassifier,0.5,0.5065907729179149,"[[0.5, 0.0], [0.5, 0.0]]",0.5,0.0
LogisticRegression,0.5044,0.5065907729179149,"[[0.29, 0.21], [0.3, 0.21]]",0.5021207989095189,0.01013916860333392
DecisionTreeClassifier,0.85025,0.5065907729179149,"[[0.25, 0.25], [0.24, 0.26]]",0.49317098623834044,0.009680037247954533
KNeighborsClassifier,0.6348,0.5065907729179149,"[[0.25, 0.25], [0.25, 0.26]]",0.5043148826641118,0.009875096864807795
GaussianNB,0.50255,0.5065907729179149,"[[0.34, 0.16], [0.35, 0.16]]",0.5017431947306273,0.00897545473487535
SVC,0.53355,0.5065907729179149,"[[0.33, 0.16], [0.34, 0.16]]",0.5000014612745958,0.007531172375005473
RandomForestClassifier,0.84725,0.5065907729179149,"[[0.26, 0.24], [0.26, 0.24]]",0.495348081854301,0.0077785837914690755
XGBClassifier,0.76785,0.5065907729179149,"[[0.25, 0.24], [0.26, 0.24]]",0.4966225473748455,0.009271438974568365
StackingClassifier,0.8489,0.5065907729179149,"[[0.22, 0.27], [0.22, 0.28]]",0.49486675052255863,0.0138290300389515
