Name,f1,precision,confusionMatrix,AUC,STD
DummyClassifier,0.5,0.8482446947864816,"[[0.5, 0.0], [0.5, 0.0]]",0.5,0.0
LogisticRegression,0.62081,0.8482446947864816,"[[0.3, 0.2], [0.18, 0.32]]",0.6626001158902006,0.004050619415138983
GaussianNB,0.61681,0.8482446947864816,"[[0.24, 0.26], [0.12, 0.38]]",0.6921565419216472,0.005228319194062987
XGBClassifier,0.87142,0.8482446947864816,"[[0.42, 0.08], [0.07, 0.43]]",0.9352142525613789,0.002984817559054545
StackingClassifier,0.87142,0.8482446947864816,"[[0.42, 0.08], [0.07, 0.43]]",0.8632350321637864,0.0036584122482208777
